time,x,y
1702461571.26939,402,25
1702461571.3035116,420,29
1702461571.3356583,451,35
1702461571.3698752,482,41
1702461571.4037824,512,47
1702461571.4377747,543,54
1702461571.4718428,571,65
1702461571.503416,594,75
1702461571.5396147,611,86
1702461571.5837927,617,96
1702461574.6348772,617,316
1702461574.656968,615,331
1702461574.6872053,612,332
1702461574.725157,609,332
1702461574.7592483,607,336
1702461574.8071022,603,336
1702461574.863564,599,334
1702461574.89966,597,338
1702461574.9239302,593,330
1702461574.9376078,587,342
1702461574.9553664,585,344
1702461574.986425,578,343
1702461575.0207152,576,344
1702461575.0569344,574,342
1702461575.0921056,572,342
1702461575.1293893,569,341
1702461575.1634088,565,341
1702461575.1975503,558,333
1702461575.23148,556,345
1702461575.2632766,553,344
1702461575.2972844,546,344
1702461575.331438,529,339
1702461575.3654437,526,339
1702461575.3992658,522,338
1702461575.4312446,519,338
1702461575.4651961,516,336
1702461575.4992952,512,340
1702461575.5328104,500,340
1702461575.570489,495,341
1702461575.6095572,492,341
1702461575.640286,490,341
1702461575.663706,483,341
1702461575.6930795,486,342
1702461575.7310452,479,341
1702461575.7672043,474,338
1702461575.8362598,469,340
1702461575.906599,462,339
1702461575.9296763,454,335
1702461575.943665,447,338
1702461575.9524384,442,343
1702461575.9826882,434,351
1702461576.0273566,431,345
1702461576.0647001,431,346
1702461576.103138,427,345
1702461576.1372762,424,343
1702461576.171314,421,343
1702461576.203162,415,342
1702461576.2374415,410,341
1702461576.2714915,407,344
1702461576.3055096,399,338
1702461576.3395038,400,358
1702461576.3713603,396,349
1702461576.4054084,392,343
1702461576.4393065,385,343
1702461576.47124,381,341
1702461576.5054536,367,332
1702461576.540108,363,343
1702461576.5814357,360,341
1702461576.6214275,358,340
1702461576.646401,357,342
1702461576.671289,354,342
1702461576.7012312,351,339
1702461576.737681,346,347
1702461576.775105,342,347
1702461576.839088,340,347
1702461576.901147,337,349
1702461576.9242039,328,348
1702461576.934493,326,343
1702461576.9449375,321,343
1702461576.9672327,315,341
1702461577.0005445,308,338
1702461577.0359128,306,342
1702461577.0731049,305,342
1702461577.1113496,302,340
1702461577.1434093,298,339
1702461577.1771636,298,345
1702461577.211162,293,346
1702461577.2454295,288,344
1702461577.27934,275,332
1702461577.3110948,273,331
1702461577.3451445,269,341
1702461577.3789957,264,342
1702461577.4120984,263,343
1702461577.446049,259,343
1702461577.4790406,256,343
1702461577.5131207,254,345
1702461577.5492673,252,345
1702461577.5888758,252,345
1702461577.6266036,248,344
1702461577.6513648,242,343
1702461577.6764858,235,341
1702461577.7084842,226,342
1702461577.7434263,224,340
1702461577.7810907,222,344
1702461577.8395722,223,343
1702461577.8999345,221,343
1702461577.9295478,219,339
1702461577.9427457,225,358
1702461577.9548833,211,346
1702461577.9759111,194,343
1702461578.0083184,194,343
1702461578.0437393,190,343
1702461578.0790534,186,341
1702461578.1174855,185,343
1702461578.1514707,182,343
1702461578.1830273,179,344
1702461578.21735,178,348
1702461578.251945,176,349
1702461578.285667,175,347
1702461578.3194792,168,344
1702461578.3515,158,338
1702461578.385731,151,343
1702461578.419814,148,340
1702461578.4534845,146,344
1702461578.4873393,144,344
1702461578.519046,140,344
1702461578.5549335,134,350
1702461578.5959005,126,349
1702461578.6418738,127,341
1702461578.680317,116,348
1702461578.7146163,110,350
1702461578.753147,115,340
1702461578.7889397,102,336
1702461578.8548722,99,347
1702461578.9121861,96,348
1702461578.9256554,91,350
1702461578.9374025,88,349
1702461578.955357,84,349
1702461578.9828978,82,347
1702461579.0143042,84,348
1702461579.0492945,83,347
1702461579.0885496,78,347
1702461579.122868,73,346
1702461579.1569014,69,345
1702461579.1910295,63,342
1702461579.2251253,52,339
1702461579.2909226,49,337
1702461579.3249621,49,340
1702461579.3590746,40,338
1702461579.3930674,39,338
1702461579.4269955,39,340
1702461579.4590101,37,340
1702461579.4930134,35,340
1702461579.5269995,33,340
1702461579.5651255,32,341
1702461579.6104407,30,343
1702461579.6409879,28,344
1702461579.6610518,26,345
1702461579.687841,23,345
1702461588.355737,20,335
1702461588.3896813,24,319
1702461588.4216547,29,320
1702461588.4556603,32,323
1702461588.4900904,35,321
1702461588.5240812,38,318
1702461588.5603642,41,316
1702461588.595217,41,323
1702461588.6328247,47,313
1702461588.6637,51,331
1702461588.6867495,54,332
1702461588.7184796,57,332
1702461588.754979,59,319
1702461588.7915888,67,324
1702461588.825751,72,326
1702461588.870903,77,333
1702461588.9109967,82,334
1702461588.9339194,87,334
1702461588.9639728,100,331
1702461588.9933357,102,335
1702461589.0221796,106,336
1702461589.0586605,113,335
1702461589.0936775,120,334
1702461589.1276813,130,321
1702461589.1615493,140,317
1702461589.1936586,145,329
1702461589.227815,148,331
1702461589.2618184,152,331
1702461589.2960842,159,334
1702461589.3300018,168,333
1702461589.3618464,179,326
1702461589.395667,186,329
1702461589.4294171,189,332
1702461589.4635673,199,331
1702461589.4975874,201,323
1702461589.5295782,209,323
1702461589.5681715,217,325
1702461589.6053302,220,331
1702461589.63905,228,333
1702461589.6681156,236,335
1702461589.6911473,242,334
1702461589.724804,249,334
1702461589.7633731,253,336
1702461589.7975588,267,333
1702461589.8345094,266,325
1702461589.8804805,272,324
1702461589.9446177,285,325
1702461589.9906368,292,330
1702461589.9981055,299,332
1702461590.0051107,305,332
1702461590.0300963,313,333
1702461590.0643826,325,328
1702461590.0933871,332,330
1702461590.124896,334,332
1702461590.1603928,340,333
1702461590.1975849,347,330
1702461590.2358136,353,326
1702461590.2698066,362,325
1702461590.3014708,370,329
1702461590.3355606,377,331
1702461590.369419,384,332
1702461590.403332,393,335
1702461590.437477,403,332
1702461590.4694347,417,329
1702461590.5035195,423,331
1702461590.5375175,423,333
1702461590.5761728,430,332
1702461590.6130447,434,324
1702461590.643428,442,324
1702461590.672728,455,330
1702461590.6997416,463,331
1702461590.7323246,470,331
1702461590.7703316,476,331
1702461590.805582,482,331
1702461590.8395863,497,326
1702461590.8735814,504,331
1702461590.9057748,512,331
1702461590.9402022,517,332
1702461590.9740565,522,322
1702461591.007564,532,317
1702461591.0413847,544,321
1702461591.0734735,554,329
1702461591.1075034,561,330
1702461591.1415234,567,331
1702461591.1758027,572,329
1702461591.2096915,584,324
1702461591.2417233,588,324
1702461591.275768,587,328
1702461591.3093314,588,329
1702461591.3433008,593,324
1702461591.3777065,606,320
1702461591.4097443,608,319
1702461591.4435165,614,333
1702461591.4774776,618,375
