time,x,y
1702462143.2162266,5,324
1702462143.2500935,5,324
1702462143.2834198,7,327
1702462143.3176506,8,327
1702462143.349679,11,328
1702462143.4054275,17,329
1702462143.4602642,19,328
1702462143.4809718,27,333
1702462143.4948473,28,326
1702462143.5195625,32,325
1702462143.5504534,40,324
1702462143.5785532,42,324
1702462143.6124923,45,324
1702462143.6471853,47,324
1702462143.6814613,51,324
1702462143.7191734,61,368
1702462143.7191734,58,331
1702462143.7532983,58,334
1702462143.7871718,60,334
1702462143.821115,65,341
1702462143.853279,70,340
1702462143.8872218,75,341
1702462143.9214897,79,344
1702462143.9537134,82,345
1702462143.9878373,84,344
1702462144.0219104,88,343
1702462144.0551906,92,342
1702462144.0888925,91,343
1702462144.1211843,93,342
1702462144.1550698,96,341
1702462144.189222,105,341
1702462144.2232876,112,328
1702462144.2567327,117,358
1702462144.2567327,116,326
1702462144.2887151,119,343
1702462144.3232305,124,359
1702462144.3232305,124,325
1702462144.357142,129,329
1702462144.4145842,133,329
1702462144.4794679,133,332
1702462144.5128667,136,334
1702462144.5303793,141,334
1702462144.5395384,146,335
1702462144.55656,144,333
1702462144.5857549,149,340
1702462144.6179805,155,336
1702462144.6533198,163,332
1702462144.6896012,161,334
1702462144.7268586,168,327
1702462144.7608619,181,362
1702462144.7608619,170,327
1702462144.7926989,178,343
1702462144.826683,180,341
1702462144.8605576,184,342
1702462144.8925905,185,342
1702462144.9268007,186,341
1702462144.9607487,186,340
1702462144.9944706,191,338
1702462145.0284061,195,341
1702462145.0791936,189,364
1702462145.0791936,219,362
1702462145.0791936,206,330
1702462145.129394,191,363
1702462145.129394,215,343
1702462145.1628475,193,361
1702462145.1628475,218,344
1702462145.1966486,219,341
1702462145.2283735,220,340
1702462145.262501,222,341
1702462145.296643,222,339
1702462145.3305533,227,339
1702462145.3643527,227,340
1702462145.4122586,238,339
1702462145.475827,244,342
1702462145.475827,46,182
1702462145.5211473,247,342
1702462145.549472,252,345
1702462145.5697913,255,345
1702462145.5747914,258,344
1702462145.5924911,259,344
1702462145.6254058,259,342
1702462145.6605048,260,340
1702462145.6987176,262,338
1702462145.7321787,266,339
1702462145.7663043,271,329
1702462145.8002577,277,327
1702462145.8321571,281,327
1702462145.8661933,301,362
1702462145.8661933,282,327
1702462145.9000216,294,343
1702462145.9339519,304,360
1702462145.9339519,290,323
1702462145.9679637,301,345
1702462146.0000515,303,342
1702462146.034026,304,341
1702462146.0679634,305,339
1702462146.1019216,306,340
1702462146.1359243,307,341
1702462146.1679912,310,342
1702462146.2019415,314,344
1702462146.235918,318,345
1702462146.2698812,322,344
1702462146.3038073,326,346
1702462146.3358662,332,343
1702462146.3698177,330,337
1702462146.4120092,332,339
1702462146.4512472,338,342
1702462146.4780025,341,339
1702462146.513265,346,339
1702462146.54423,350,341
1702462146.565363,353,340
1702462146.596749,355,339
1702462146.6311014,357,340
1702462146.666206,358,339
1702462146.7041183,354,339
1702462146.73952,357,335
1702462146.7714655,359,337
1702462146.805462,361,337
1702462146.8398976,364,336
1702462146.873937,367,335
1702462146.9079537,378,328
1702462146.940189,379,323
1702462146.974073,384,334
1702462147.0077357,387,335
1702462147.0412998,389,325
1702462147.0755255,390,333
1702462147.107553,394,332
1702462147.1412435,398,339
1702462147.1756399,400,329
1702462147.2096753,402,337
1702462147.2432418,407,337
1702462147.2753477,410,336
1702462147.309373,412,337
1702462147.3432646,415,338
1702462147.378189,418,338
1702462147.4230442,419,344
1702462147.4721832,423,341
1702462147.5031796,426,341
1702462147.519938,427,342
1702462147.5495253,429,339
1702462147.5783186,432,340
1702462147.6043766,436,340
1702462147.6387749,440,338
1702462147.6742449,443,337
1702462147.7102418,447,337
1702462147.7451615,448,327
1702462147.7791405,440,365
1702462147.7791405,452,326
1702462147.813202,456,341
1702462147.8471818,445,360
1702462147.8471818,464,331
1702462147.8792472,465,333
1702462147.9133458,481,371
1702462147.9133458,467,331
1702462147.947273,475,336
1702462147.9815638,477,336
1702462148.01539,482,331
1702462148.0470386,483,334
1702462148.0810978,488,333
1702462148.1149511,489,334
1702462148.149032,491,340
1702462148.182973,495,340
1702462148.214908,494,334
1702462148.2493565,498,331
1702462148.28329,505,338
1702462148.3173957,511,339
1702462148.351355,515,330
1702462148.3832834,518,328
1702462148.4254246,524,329
1702462148.4254246,524,341
1702462148.462073,527,329
1702462148.485999,529,330
1702462148.5177228,533,321
1702462148.5508878,527,371
1702462148.5508878,537,317
1702462148.5795374,540,317
1702462148.611918,566,366
1702462148.611918,545,317
1702462148.6447833,569,366
1702462148.6447833,551,320
1702462148.6811142,561,333
1702462148.7185383,563,334
1702462148.7525227,566,333
1702462148.7869422,569,332
1702462148.8190193,571,330
1702462148.8528042,574,329
1702462148.8867445,576,330
1702462148.920621,579,330
1702462148.954536,583,331
1702462148.9865441,616,367
1702462148.9865441,587,331
1702462149.0206113,619,369
1702462149.0206113,580,360
1702462149.0206113,597,313
1702462149.0546675,619,365
1702462149.0546675,594,328
1702462149.0888023,623,375
1702462149.0888023,603,329
1702462149.1227481,613,330
1702462149.1545663,614,325
1702462149.1545663,619,341
1702462149.1885023,617,326
1702462149.2224889,618,326
1702462149.254643,621,334
1702462149.2885833,624,334
1702462149.322452,624,374
1702462149.322452,626,308
1702462149.3564725,627,339
1702462149.391577,627,365
1702462149.391577,630,310
1702462149.4354851,631,314
1702462151.2015953,542,10
1702462151.235595,536,15
1702462151.2694728,525,23
1702462151.3015704,515,33
1702462151.3355665,505,44
1702462151.3694701,494,55
1702462151.4057586,485,64
1702462151.4465785,477,74
1702462151.4870057,469,83
1702462151.5159712,461,94
1702462151.5481312,455,101
1702462151.5806537,446,109
1702462151.6014023,439,119
1702462151.6305442,433,127
1702462151.6648884,426,136
1702462151.6998637,424,142
1702462151.7379131,421,151
1702462151.773359,416,159
1702462151.805276,411,165
1702462151.8393006,404,173
1702462151.8733087,402,178
1702462151.9053557,398,185
1702462151.9394217,396,194
1702462151.973113,394,199
1702462152.006979,391,204
1702462152.0412006,387,213
1702462152.0734491,386,218
1702462152.107635,385,224
1702462152.1414533,382,231
