time,x,y
1702462245.4323516,305,148
1702462245.4667861,305,148
1702462245.4987054,314,148
1702462245.532699,572,371
1702462245.532699,318,147
1702462245.583209,323,145
1702462245.6334844,327,144
1702462245.667421,330,143
1702462245.9683328,360,365
1702462246.0024385,357,365
1702462246.3046103,353,363
1702462247.3133516,560,70
1702462247.347188,562,69
1702462247.3789344,569,66
1702462247.413179,573,63
1702462247.4472795,579,61
1702462247.4794383,584,59
1702462247.5138042,589,57
1702462247.5479982,595,56
1702462247.5815597,600,54
1702462247.6151204,606,50
1702462247.6474514,611,48
1702462247.6817083,618,46
1702462247.7513323,622,45
1702462247.8182504,628,42
1702462247.8414845,632,39
1702462247.8568387,634,38
1702462249.959168,489,369
1702462250.166264,481,366
1702462250.790864,5,366
1702462250.8258185,7,365
1702462251.0392032,2,364
1702462251.0716748,4,365
1702462251.106039,6,365
1702462251.139936,7,365
1702462251.1739836,11,365
1702462251.2079256,14,365
1702462251.239865,16,365
1702462251.2740002,18,365
1702462251.6439707,28,366
1702462251.67859,32,366
1702462251.721661,33,366
1702462251.7563756,35,365
1702462251.7852755,37,365
1702462251.7852755,2,355
1702462251.8191228,3,355
1702462251.8448737,3,357
1702462251.8707557,4,360
1702462251.9045658,6,361
1702462251.939117,26,364
1702462251.939117,5,359
1702462251.9741898,28,364
1702462251.9741898,6,357
1702462252.010449,31,364
1702462252.010449,7,356
1702462252.046255,33,364
1702462252.046255,8,356
1702462252.080426,36,364
1702462252.080426,7,355
1702462252.1144652,38,364
1702462252.1483507,43,365
1702462252.1803942,46,365
1702462252.1803942,2,362
1702462252.213977,49,365
1702462252.213977,7,356
1702462252.2476575,52,365
1702462252.2476575,8,355
1702462252.2821035,54,365
1702462252.2821035,15,355
1702462252.2821035,3,349
1702462252.3162131,16,358
1702462252.3162131,4,346
1702462252.3483086,16,360
1702462252.3483086,4,346
1702462252.3824556,18,360
1702462252.3824556,4,345
1702462252.416395,21,361
1702462252.416395,5,345
1702462252.450046,43,364
1702462252.450046,21,359
1702462252.450046,6,346
1702462252.4835365,45,364
1702462252.4835365,22,356
1702462252.4835365,2,344
1702462252.5155795,47,363
1702462252.5155795,23,356
1702462252.5155795,6,344
1702462252.5500185,50,364
1702462252.5500185,15,351
1702462252.5839906,51,364
1702462252.5839906,12,354
1702462252.618175,54,364
1702462252.618175,11,354
1702462252.6524234,62,366
1702462252.6524234,12,353
1702462252.6848683,64,365
1702462252.6848683,14,352
1702462252.7503119,67,365
1702462252.7503119,16,352
1702462252.8141828,69,365
1702462252.8141828,19,352
1702462252.8141828,15,354
1702462252.839171,71,365
1702462252.839171,29,358
1702462252.839171,13,344
1702462252.8522213,32,359
1702462252.8522213,14,344
1702462252.8632917,33,360
1702462252.8632917,15,344
1702462252.8831918,35,361
1702462252.8831918,72,350
1702462252.8831918,16,344
1702462252.913158,59,364
1702462252.913158,37,361
1702462252.913158,74,350
1702462252.913158,17,344
1702462252.9455938,61,364
1702462252.9455938,38,358
1702462252.9455938,75,348
1702462252.9455938,17,346
1702462252.9811907,39,356
1702462252.9811907,68,358
1702462252.9811907,18,346
1702462253.0190663,481,367
1702462253.0190663,40,356
1702462253.0190663,70,359
1702462253.0190663,19,347
1702462253.0542371,68,364
1702462253.0542371,29,352
1702462253.0885167,70,364
1702462253.0885167,29,353
1702462253.0885167,26,357
1702462253.120298,75,365
1702462253.120298,27,353
1702462253.153918,79,365
1702462253.153918,29,352
1702462253.1876223,82,363
1702462253.1876223,32,352
1702462253.2219121,84,365
1702462253.2219121,35,352
1702462253.2561696,24,365
1702462253.2561696,86,365
1702462253.2561696,44,357
1702462253.2561696,76,345
1702462253.2561696,28,345
1702462253.2882266,499,367
1702462253.2882266,90,366
1702462253.2882266,49,358
1702462253.2882266,29,344
1702462253.3223205,50,360
1702462253.3223205,30,344
1702462253.356555,34,367
1702462253.356555,79,355
1702462253.356555,52,361
1702462253.356555,30,344
1702462253.390333,35,366
1702462253.390333,54,361
1702462253.390333,86,352
1702462253.390333,32,346
1702462253.4238055,35,367
1702462253.4238055,56,361
1702462253.4238055,85,352
1702462253.4238055,32,344
1702462253.455841,76,364
1702462253.455841,44,352
1702462253.4903839,492,368
1702462253.4903839,44,352
1702462253.524312,45,353
1702462253.5562887,46,354
1702462253.5909834,46,354
1702462253.6250606,45,353
1702462253.6584783,95,365
1702462253.6584783,46,353
1702462253.7021825,96,365
1702462253.7021825,49,353
1702462253.7573338,98,365
1702462253.7573338,51,353
1702462253.8144522,98,365
1702462253.8144522,63,359
1702462253.8144522,42,346
1702462253.8498645,67,359
1702462253.8498645,43,346
1702462253.8635564,258,364
1702462253.8635564,67,361
1702462253.8635564,44,346
1702462253.8776865,69,362
1702462253.8776865,45,346
1702462253.8924375,91,364
1702462253.8924375,72,362
1702462253.8924375,46,346
1702462253.919388,93,364
1702462253.919388,72,359
1702462253.919388,47,346
1702462253.954008,95,364
1702462253.954008,75,358
1702462253.954008,48,347
1702462253.990323,97,364
1702462253.990323,58,351
1702462254.028018,99,364
1702462254.028018,75,342
1702462254.028018,60,353
1702462254.0600245,101,364
1702462254.0600245,57,353
1702462254.0940108,105,365
1702462254.0940108,77,351
1702462254.0940108,56,352
1702462254.1280687,107,365
1702462254.1280687,55,354
1702462254.1620717,109,365
1702462254.1620717,49,364
1702462254.1620717,66,350
1702462254.1961932,112,365
1702462254.1961932,51,365
1702462254.1961932,77,353
1702462254.1961932,57,344
1702462254.2281253,114,365
1702462254.2281253,73,360
1702462254.2281253,83,344
1702462254.2281253,55,351
1702462254.262198,60,366
1702462254.262198,85,345
1702462254.262198,58,346
1702462254.2963963,63,366
1702462254.2963963,82,365
1702462254.2963963,59,346
1702462254.3301783,64,366
1702462254.3301783,85,364
1702462254.3301783,59,346
1702462254.364267,64,366
1702462254.364267,86,364
1702462254.364267,60,346
1702462254.3963962,61,347
1702462254.4301248,62,347
1702462254.4639843,64,348
1702462254.496161,65,348
1702462254.5301933,65,348
1702462254.564534,69,352
1702462254.5985441,71,352
1702462254.6320834,71,351
1702462254.6641889,76,347
1702462254.7209113,77,346
1702462254.7722936,80,352
1702462254.7894735,79,366
1702462254.7894735,93,361
1702462254.7894735,81,344
1702462254.8065858,86,363
1702462254.8065858,83,344
1702462254.830443,91,362
1702462254.8628607,90,353
1702462254.8628607,92,354
1702462254.9130583,121,362
1702462254.9130583,104,362
1702462254.962549,104,356
1702462254.962549,80,347
1702462254.9984694,124,362
1702462254.9984694,105,355
1702462254.9984694,84,343
1702462255.034096,76,363
1702462255.034096,126,363
1702462255.034096,103,359
1702462255.034096,86,344
1702462255.0686707,128,363
1702462255.0686707,84,363
1702462255.0686707,87,344
1702462255.1028275,130,364
1702462255.1028275,90,362
1702462255.1028275,89,344
1702462255.1364632,130,364
1702462255.1364632,91,354
1702462255.168545,138,366
1702462255.168545,93,353
1702462255.2031245,140,365
1702462255.2031245,96,354
1702462255.2371905,141,365
1702462255.2371905,100,362
1702462255.2371905,97,342
1702462255.2713876,143,365
1702462255.2713876,100,363
1702462255.2713876,99,343
1702462255.3050284,98,365
1702462255.3050284,101,343
1702462255.336309,104,350
1702462255.3702688,104,352
1702462255.4041274,101,348
1702462255.4362183,134,363
1702462255.4362183,102,348
1702462255.4707258,135,363
1702462255.4707258,100,345
1702462255.504708,137,363
1702462255.504708,107,350
1702462255.5387697,138,363
1702462255.5387697,104,353
1702462255.5730271,105,352
1702462255.604513,109,352
1702462255.6381893,110,353
1702462255.672547,112,351
1702462255.714108,113,350
1702462255.7605402,159,365
1702462255.7605402,118,351
1702462255.7925363,161,365
1702462255.7925363,120,352
1702462255.8179042,122,353
