time,x,y
1702461204.4068093,398,364
1702461204.4408479,400,364
1702461205.045404,439,359
1702461205.078136,442,360
1702461205.8506722,460,363
1702461205.8828025,462,364
1702461205.9168758,467,366
1702461205.9508414,469,366
1702461206.352905,469,363
1702461206.386929,472,365
1702461207.2587872,504,363
1702461207.6883013,523,363
1702461235.4234185,287,362
1702461235.4574594,285,362
1702461236.5661001,258,346
1702461237.3372457,234,362
1702461237.3690767,232,362
1702461237.8324876,216,362
1702461238.1089292,212,355
1702461238.1410823,210,356
1702461238.2089827,207,362
1702461238.242969,206,362
1702461238.277008,204,362
1702461238.309053,202,362
1702461238.476929,206,359
1702461238.5450597,206,361
1702461238.5905113,203,361
1702461238.6550395,201,361
1702461239.5527391,167,361
1702461239.59201,165,361
1702461239.6434202,164,362
1702461239.6976247,162,362
1702461239.7326722,159,362
1702461239.9196918,164,361
1702461239.9196918,21,323
1702461239.9551125,162,361
1702461239.9551125,24,330
1702461239.9890227,28,330
1702461240.0209737,31,330
1702461240.0550265,35,344
1702461240.088998,39,348
1702461240.1232915,39,340
1702461240.1572845,44,339
1702461240.1888373,148,358
1702461240.1888373,48,345
1702461240.2395582,47,353
1702461240.2922611,65,344
1702461240.3254936,109,354
1702461240.3569505,82,350
1702461240.3907552,108,356
1702461240.424645,107,355
1702461240.4588003,110,342
1702461240.4931393,114,356
1702461240.5252604,127,336
1702461240.5589752,120,343
1702461240.596757,123,356
1702461240.6507082,128,355
1702461240.6946306,143,345
1702461240.716447,146,336
1702461240.7425203,153,350
1702461240.7676268,166,333
1702461240.790295,168,338
1702461240.8179982,175,331
1702461240.852457,178,338
1702461240.891174,182,338
1702461240.9282103,174,340
1702461240.9608164,177,338
1702461240.9949098,202,340
1702461241.0292997,206,340
1702461241.0631914,213,336
1702461241.0970294,223,327
1702461241.1290505,226,330
1702461241.1629705,230,333
1702461241.1969457,234,342
1702461241.2311978,245,348
1702461241.2652135,252,338
1702461241.2970061,262,332
1702461241.330987,264,326
1702461241.3648314,262,331
1702461241.3988767,121,361
1702461241.3988767,269,343
1702461241.4327388,118,360
1702461241.4327388,273,341
1702461241.4647992,116,361
1702461241.4647992,284,330
1702461241.4988842,300,331
1702461241.5327814,109,363
1702461241.5327814,304,335
1702461241.5668755,107,363
1702461241.5668755,305,333
1702461241.6303506,106,362
1702461241.6303506,310,329
1702461241.691788,104,363
1702461241.691788,312,331
1702461241.7203474,314,338
1702461241.7381177,322,349
1702461241.7514882,325,339
1702461241.7687888,339,334
1702461241.793939,349,321
1702461241.8260689,351,335
1702461241.8608336,355,335
1702461241.898066,358,335
1702461241.9347968,360,331
1702461241.9691052,362,338
1702461242.0030017,360,342
1702461242.0368881,377,362
1702461242.0689368,392,327
1702461242.1032186,395,326
1702461242.1372104,398,325
1702461242.1710463,408,337
1702461242.205043,414,336
1702461242.2368097,418,337
1702461242.2708058,423,337
1702461242.3047564,424,336
1702461242.3387523,425,338
1702461242.3731968,428,343
1702461242.4052172,433,345
1702461242.4392722,440,340
1702461242.4733768,445,339
1702461242.5068445,453,322
1702461242.5407317,457,319
1702461242.5729141,463,330
1702461242.6301851,77,364
1702461242.6301851,472,338
1702461242.681537,75,364
1702461242.681537,476,338
1702461242.7013905,481,338
1702461242.7174454,481,338
1702461242.7375965,484,339
1702461242.7665195,487,337
1702461242.799869,489,338
1702461242.8323765,495,340
1702461242.867752,495,329
1702461242.943029,509,330
1702461242.9774847,517,323
1702461243.0093832,520,325
1702461243.0429106,515,336
1702461243.0768313,525,318
1702461243.1107879,528,318
1702461243.1448226,533,318
1702461243.313032,567,366
1702461243.3451514,568,347
1702461243.3794222,569,341
1702461243.4133315,572,343
1702461243.446948,572,341
1702461243.4809797,573,341
1702461243.5128043,573,341
1702461243.546785,576,342
1702461243.580616,62,361
1702461243.580616,579,342
1702461243.628155,60,361
1702461243.628155,578,333
1702461243.676549,580,330
1702461243.7028317,54,363
1702461243.7028317,581,347
1702461243.7281256,581,367
1702461243.7281256,68,362
1702461243.7577925,583,366
1702461243.7577925,52,363
1702461243.778646,585,365
1702461244.116709,608,331
1702461245.1930556,29,352
1702461245.25916,29,352
